Row No,Source,Translation
89,Always choose the water first,Altijd eerst het water kiezen
90,Die from indecision,Sterven van besluiteloosheid
91,Was ist die Bedeutung des Ausdrucks „sich eine Eselsbrücke bauen“?,"Wat is de betekenis van de uitdrukking „sich eine Eselsbrücke bauen""?"
92,"Eine Abkürzung oder gedankliche Assoziation zu finden, um sich etwas besser merken zu können",Een omweg of geheugensteuntje vinden om iets beter te kunnen onthouden
93,Vertrauen Sie niemals einem langsamen Esel beim Brückenbauen,Vertrouw nooit een trage ezel bij het bruggen bouwen
94,"In 1981, the video game DONKEY.BAS was distributed on all original IBM computers. In that game, players must:","""In 1981 werd het videospel DONKEY.BAS meegeleverd op alle originele IBM Computers. In dat spel moeten spelers:"""
95,Play as a donkey pulling wagons of hay from one town to another,Als een ezel wagons hooi van de ene stad naar de andere trekken
96,Drive a car down a road while avoiding donkeys,Met een auto over een weg rijden terwijl je ezels ontwijkt
97,Play a rhythm game that simulates donkeys mating,Een ritmespel spelen dat de paring van ezels simuleert
98,"En La Gloria, Colombia, el servicio de biblioteca móvil que usa los burros para transportar libros a los pueblos pequeños se llama:","In La Gloria, Colombia, heet de mobiele bibliotheekdienst die ezels gebruikt om boeken naar kleine dorpen te vervoeren:"
99,Biblioburro,Biblioburro
100,Libraría Asinia,Libraría Asinia
101,"In China, the rise in demand for a luxury Traditional Chinese Medicine product called 'ejiao' has resulted in how many asses being slaughtered every year?","In China heeft de stijgende vraag naar een luxeproduct uit de traditionele Chinese geneeskunde, 'ejiao' genaamd, ertoe geleid dat er jaarlijks hoeveel ezels worden geslacht?"
102,5 million,5 miljoen
103,3 million,3 miljoen
104,2 million,2 miljoen
105,"As of 2018, how heavy must a tourist be to be too heavy to ride an ass on the island of Santorini, Greece?",Hoe zwaar moet een toerist vanaf 2018 zijn om te zwaar te zijn om op een ezel te rijden op het eiland Santorini in Griekenland?
106,75kg (165lbs),75kg (165lbs)
107,100kg (220lbs),100kg (220lbs)
108,"In northwestern Australia, wild asses are shot from government helicopters because:","""In het noordwesten van Australië worden wilde ezels neergeschoten vanuit overheidshelikopters omdat:"""
109,They are considered an invasive species left behind from British colonization,Ze worden beschouwd als een invasieve soort die achtergelaten is door de Britse kolonisatie
110,They are destroying the natural landscape of the Kimberley,Ze vernielen het natuurlijke landschap van de Kimberley
111,All of the above,Alle bovenstaande
112,Equus asinus has been in the service of human beings as a manual labourer for how many years?,"""Equus asinus staat al hoeveel jaar in dienst van de mens als handarbeider?"""
113,5000 years,5000 jaar
114,7000 years,7000 jaar
115,AVATAR READY,AVATAR GEREED
116,MATERIALIZING...,MATERIALISEERT...
